QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.67 	ga1: 8.10 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.27 	gb1: 4.16 	gb2: 0.29 	gb3: 0.15 	gb4: -0.17 	gb5: 0.56 	gb6: 0.38 	gb7: -0.47 	gb8: 0.44 	gb9: -0.61
			Robot 1 	f: 183.60 	mf: 251.20 	ga0: -9.39 	ga1: -1.95 	ga2: 0.61 	ga3: 0.29 	ga4: 0.58 	ga5: 0.67 	ga6: 1.28 	gb0: -9.23 	gb1: -1.92 	gb2: 0.67 	gb3: 0.29 	gb4: 0.50 	gb5: 0.58 	gb6: 1.20 	gb7: 0.06 	gb8: -0.09 	gb9: -1.37
			Robot 2 	f: 423.55 	mf: 300.80 	ga0: -9.39 	ga1: -2.61 	ga2: 0.62 	ga3: 0.29 	ga4: 0.66 	ga5: 0.67 	ga6: 1.22 	gb0: -9.35 	gb1: -2.49 	gb2: 0.66 	gb3: 0.30 	gb4: 0.65 	gb5: 0.65 	gb6: 1.19 	gb7: 0.03 	gb8: 0.00 	gb9: -1.20
			Robot 3 	f: 469.03 	mf: 105.40 	ga0: -9.60 	ga1: -2.52 	ga2: 0.61 	ga3: 0.28 	ga4: 0.67 	ga5: 0.71 	ga6: 1.42 	gb0: -9.43 	gb1: -2.53 	gb2: 0.51 	gb3: 0.36 	gb4: 0.55 	gb5: 0.67 	gb6: 1.26 	gb7: -0.12 	gb8: -0.10 	gb9: -1.25
			Robot 4 	f: 365.61 	mf: 211.60 	ga0: -9.38 	ga1: -1.91 	ga2: 0.69 	ga3: 0.39 	ga4: 0.67 	ga5: 0.79 	ga6: 1.43 	gb0: -9.20 	gb1: -1.93 	gb2: 0.70 	gb3: 0.41 	gb4: 0.57 	gb5: 0.69 	gb6: 1.20 	gb7: -0.09 	gb8: 0.04 	gb9: -1.19
			Robot 5 	f: 236.42 	mf: 348.60 	ga0: -9.77 	ga1: -2.40 	ga2: 0.63 	ga3: 0.29 	ga4: 0.58 	ga5: 0.72 	ga6: 1.21 	gb0: -9.61 	gb1: -2.27 	gb2: 0.59 	gb3: 0.28 	gb4: 0.62 	gb5: 0.71 	gb6: 1.17 	gb7: -0.01 	gb8: -0.10 	gb9: -1.26
			Robot 6 	f: 689.14 	mf: 539.00 	ga0: -9.52 	ga1: -2.67 	ga2: 0.64 	ga3: 0.28 	ga4: 0.57 	ga5: 0.68 	ga6: 1.26 	gb0: -9.17 	gb1: -2.39 	gb2: 0.61 	gb3: 0.37 	gb4: 0.47 	gb5: 0.71 	gb6: 1.26 	gb7: -0.09 	gb8: -0.08 	gb9: -1.25
			Robot 7 	f: 597.11 	mf: 309.60 	ga0: -9.25 	ga1: -2.33 	ga2: 0.59 	ga3: 0.28 	ga4: 0.61 	ga5: 0.70 	ga6: 1.16 	gb0: -9.10 	gb1: -2.24 	gb2: 0.51 	gb3: 0.23 	gb4: 0.62 	gb5: 0.72 	gb6: 1.16 	gb7: -0.05 	gb8: 0.07 	gb9: -1.29
			Robot 8 	f: 1019.34 	mf: 337.60 	ga0: -9.51 	ga1: -2.45 	ga2: 0.59 	ga3: 0.29 	ga4: 0.69 	ga5: 0.83 	ga6: 1.15 	gb0: -9.35 	gb1: -2.44 	gb2: 0.58 	gb3: 0.35 	gb4: 0.58 	gb5: 0.76 	gb6: 1.15 	gb7: -0.05 	gb8: 0.02 	gb9: -1.35
			Robot 9 	f: 817.71 	mf: 492.60 	ga0: -9.05 	ga1: -2.96 	ga2: 0.55 	ga3: 0.35 	ga4: 0.58 	ga5: 0.68 	ga6: 1.04 	gb0: -9.00 	gb1: -2.38 	gb2: 0.44 	gb3: 0.27 	gb4: 0.53 	gb5: 0.75 	gb6: 1.06 	gb7: -0.08 	gb8: -0.04 	gb9: -1.44
			Robot 10 	f: 102.55 	mf: 130.40 	ga0: -9.70 	ga1: -2.60 	ga2: 0.65 	ga3: 0.38 	ga4: 0.57 	ga5: 0.71 	ga6: 1.24 	gb0: -9.39 	gb1: -2.45 	gb2: 0.66 	gb3: 0.40 	gb4: 0.61 	gb5: 0.73 	gb6: 1.26 	gb7: -0.00 	gb8: -0.13 	gb9: -1.30
			Robot 11 	f: 820.07 	mf: 513.20 	ga0: -9.38 	ga1: -2.31 	ga2: 0.61 	ga3: 0.28 	ga4: 0.64 	ga5: 0.66 	ga6: 1.16 	gb0: -9.20 	gb1: -2.30 	gb2: 0.56 	gb3: 0.39 	gb4: 0.63 	gb5: 0.76 	gb6: 1.22 	gb7: -0.10 	gb8: 0.02 	gb9: -1.23
			Robot 12 	f: 536.77 	mf: 398.40 	ga0: -9.36 	ga1: -1.58 	ga2: 0.62 	ga3: 0.29 	ga4: 0.57 	ga5: 0.67 	ga6: 1.36 	gb0: -9.24 	gb1: -1.75 	gb2: 0.61 	gb3: 0.34 	gb4: 0.58 	gb5: 0.59 	gb6: 1.25 	gb7: 0.01 	gb8: -0.07 	gb9: -1.40
			Robot 13 	f: 370.86 	mf: 82.20 	ga0: -9.39 	ga1: -1.89 	ga2: 0.62 	ga3: 0.29 	ga4: 0.69 	ga5: 0.67 	ga6: 1.21 	gb0: -9.25 	gb1: -1.95 	gb2: 0.54 	gb3: 0.33 	gb4: 0.54 	gb5: 0.66 	gb6: 1.15 	gb7: -0.00 	gb8: -0.10 	gb9: -1.20
			Robot 14 	f: 66.40 	mf: 146.20 	ga0: -9.58 	ga1: -2.42 	ga2: 0.63 	ga3: 0.29 	ga4: 0.63 	ga5: 0.67 	ga6: 1.21 	gb0: -9.42 	gb1: -2.42 	gb2: 0.53 	gb3: 0.31 	gb4: 0.60 	gb5: 0.69 	gb6: 1.21 	gb7: -0.10 	gb8: -0.02 	gb9: -1.30
		Population 75
			Robot 0 	f: 533.31 	mf: 439.80 	ga0: -9.24 	ga1: -2.60 	ga2: 0.59 	ga3: 0.44 	ga4: 0.57 	ga5: 0.68 	ga6: 1.16 	gb0: -9.18 	gb1: -2.52 	gb2: 0.54 	gb3: 0.39 	gb4: 0.47 	gb5: 0.58 	gb6: 1.20 	gb7: -0.04 	gb8: 0.06 	gb9: -1.27
			Robot 1 	f: 361.59 	mf: 264.80 	ga0: -9.22 	ga1: -2.45 	ga2: 0.58 	ga3: 0.32 	ga4: 0.58 	ga5: 0.68 	ga6: 1.16 	gb0: -9.14 	gb1: -2.39 	gb2: 0.48 	gb3: 0.30 	gb4: 0.47 	gb5: 0.71 	gb6: 1.14 	gb7: -0.08 	gb8: 0.03 	gb9: -1.44
			Robot 2 	f: 267.73 	mf: 298.40 	ga0: -9.22 	ga1: 0.61 	ga2: 0.82 	ga3: 0.32 	ga4: 0.62 	ga5: 0.68 	ga6: 1.13 	gb0: -9.13 	gb1: -0.90 	gb2: 0.64 	gb3: 0.39 	gb4: 0.53 	gb5: 0.61 	gb6: 1.15 	gb7: 0.04 	gb8: -0.03 	gb9: -1.38
			Robot 3 	f: 461.57 	mf: 308.20 	ga0: -9.33 	ga1: -2.74 	ga2: 0.58 	ga3: 0.32 	ga4: 0.62 	ga5: 0.70 	ga6: 1.23 	gb0: -9.25 	gb1: -2.60 	gb2: 0.52 	gb3: 0.30 	gb4: 0.55 	gb5: 0.73 	gb6: 1.19 	gb7: 0.02 	gb8: -0.05 	gb9: -1.28
			Robot 4 	f: 400.14 	mf: 190.20 	ga0: -9.22 	ga1: -2.43 	ga2: 0.62 	ga3: 0.37 	ga4: 0.63 	ga5: 0.74 	ga6: 1.24 	gb0: -9.19 	gb1: -2.23 	gb2: 0.58 	gb3: 0.40 	gb4: 0.56 	gb5: 0.74 	gb6: 1.25 	gb7: -0.04 	gb8: 0.03 	gb9: -1.28
			Robot 5 	f: 629.06 	mf: 386.00 	ga0: -9.77 	ga1: -2.40 	ga2: 0.63 	ga3: 0.29 	ga4: 0.58 	ga5: 0.72 	ga6: 1.21 	gb0: -9.61 	gb1: -2.27 	gb2: 0.59 	gb3: 0.28 	gb4: 0.62 	gb5: 0.71 	gb6: 1.17 	gb7: -0.01 	gb8: -0.10 	gb9: -1.26
			Robot 6 	f: 423.22 	mf: 500.40 	ga0: -9.64 	ga1: -2.81 	ga2: 0.60 	ga3: 0.31 	ga4: 0.58 	ga5: 0.68 	ga6: 1.26 	gb0: -9.32 	gb1: -2.56 	gb2: 0.48 	gb3: 0.24 	gb4: 0.47 	gb5: 0.62 	gb6: 1.25 	gb7: -0.10 	gb8: -0.07 	gb9: -1.40
			Robot 7 	f: 203.31 	mf: 254.80 	ga0: -9.15 	ga1: -0.82 	ga2: 0.57 	ga3: 0.35 	ga4: 0.59 	ga5: 0.69 	ga6: 1.10 	gb0: -9.17 	gb1: -1.50 	gb2: 0.46 	gb3: 0.37 	gb4: 0.52 	gb5: 0.74 	gb6: 1.14 	gb7: -0.09 	gb8: -0.02 	gb9: -1.27
			Robot 8 	f: 305.55 	mf: 325.20 	ga0: -9.14 	ga1: 0.15 	ga2: 0.57 	ga3: 0.32 	ga4: 0.63 	ga5: 0.75 	ga6: 1.10 	gb0: -9.22 	gb1: -1.05 	gb2: 0.63 	gb3: 0.39 	gb4: 0.56 	gb5: 0.69 	gb6: 1.04 	gb7: -0.10 	gb8: -0.08 	gb9: -1.28
			Robot 9 	f: 501.48 	mf: 531.20 	ga0: -9.05 	ga1: -2.96 	ga2: 0.55 	ga3: 0.35 	ga4: 0.58 	ga5: 0.68 	ga6: 1.04 	gb0: -9.00 	gb1: -2.38 	gb2: 0.44 	gb3: 0.27 	gb4: 0.53 	gb5: 0.75 	gb6: 1.06 	gb7: -0.08 	gb8: -0.04 	gb9: -1.44
			Robot 10 	f: 370.82 	mf: 311.40 	ga0: -9.37 	ga1: -2.78 	ga2: 0.60 	ga3: 0.37 	ga4: 0.58 	ga5: 0.70 	ga6: 1.27 	gb0: -9.32 	gb1: -2.61 	gb2: 0.58 	gb3: 0.27 	gb4: 0.65 	gb5: 0.80 	gb6: 1.19 	gb7: 0.04 	gb8: -0.05 	gb9: -1.31
			Robot 11 	f: 310.42 	mf: 437.00 	ga0: -9.21 	ga1: -2.63 	ga2: 0.58 	ga3: 0.31 	ga4: 0.61 	ga5: 0.67 	ga6: 1.10 	gb0: -9.07 	gb1: -2.50 	gb2: 0.56 	gb3: 0.41 	gb4: 0.57 	gb5: 0.70 	gb6: 1.08 	gb7: -0.13 	gb8: -0.06 	gb9: -1.35
			Robot 12 	f: 434.85 	mf: 410.80 	ga0: -9.20 	ga1: -2.27 	ga2: 0.58 	ga3: 0.32 	ga4: 0.58 	ga5: 0.67 	ga6: 1.20 	gb0: -9.09 	gb1: -2.23 	gb2: 0.50 	gb3: 0.31 	gb4: 0.59 	gb5: 0.70 	gb6: 1.09 	gb7: -0.06 	gb8: 0.06 	gb9: -1.33
			Robot 13 	f: 534.25 	mf: 123.40 	ga0: -9.39 	ga1: -1.89 	ga2: 0.62 	ga3: 0.29 	ga4: 0.69 	ga5: 0.67 	ga6: 1.21 	gb0: -9.25 	gb1: -1.95 	gb2: 0.54 	gb3: 0.33 	gb4: 0.54 	gb5: 0.66 	gb6: 1.15 	gb7: -0.00 	gb8: -0.10 	gb9: -1.20
			Robot 14 	f: 607.02 	mf: 230.60 	ga0: -9.58 	ga1: -2.42 	ga2: 0.63 	ga3: 0.29 	ga4: 0.63 	ga5: 0.67 	ga6: 1.21 	gb0: -9.42 	gb1: -2.42 	gb2: 0.53 	gb3: 0.31 	gb4: 0.60 	gb5: 0.69 	gb6: 1.21 	gb7: -0.10 	gb8: -0.02 	gb9: -1.30
		Population 76
			Robot 0 	f: 16.83 	mf: 306.40 	ga0: -9.23 	ga1: -2.62 	ga2: 0.58 	ga3: 0.38 	ga4: 0.59 	ga5: 0.67 	ga6: 1.13 	gb0: -9.23 	gb1: -2.49 	gb2: 0.66 	gb3: 0.39 	gb4: 0.53 	gb5: 0.60 	gb6: 1.18 	gb7: -0.03 	gb8: 0.03 	gb9: -1.30
			Robot 1 	f: 34.61 	mf: 225.60 	ga0: -9.22 	ga1: -2.54 	ga2: 0.58 	ga3: 0.44 	ga4: 0.60 	ga5: 0.90 	ga6: 1.13 	gb0: -9.07 	gb1: -2.56 	gb2: 0.57 	gb3: 0.30 	gb4: 0.62 	gb5: 0.73 	gb6: 1.15 	gb7: -0.02 	gb8: 0.06 	gb9: -1.31
			Robot 2 	f: -532.07 	mf: 126.80 	ga0: -9.22 	ga1: -1.01 	ga2: 0.70 	ga3: 0.32 	ga4: 0.62 	ga5: 0.75 	ga6: 1.12 	gb0: -9.11 	gb1: -1.32 	gb2: 0.72 	gb3: 0.31 	gb4: 0.66 	gb5: 0.65 	gb6: 1.08 	gb7: -0.08 	gb8: -0.00 	gb9: -1.34
			Robot 3 	f: -101.44 	mf: 270.00 	ga0: -9.27 	ga1: -1.84 	ga2: 0.58 	ga3: 0.56 	ga4: 0.62 	ga5: 0.68 	ga6: 1.17 	gb0: -9.25 	gb1: -2.29 	gb2: 0.50 	gb3: 0.51 	gb4: 0.51 	gb5: 0.68 	gb6: 1.14 	gb7: 0.04 	gb8: -0.05 	gb9: -1.27
			Robot 4 	f: 619.24 	mf: 255.40 	ga0: -9.22 	ga1: -2.43 	ga2: 0.62 	ga3: 0.37 	ga4: 0.63 	ga5: 0.74 	ga6: 1.24 	gb0: -9.19 	gb1: -2.23 	gb2: 0.58 	gb3: 0.40 	gb4: 0.56 	gb5: 0.74 	gb6: 1.25 	gb7: -0.04 	gb8: 0.03 	gb9: -1.28
			Robot 5 	f: 91.73 	mf: 305.20 	ga0: -9.75 	ga1: 0.24 	ga2: 0.61 	ga3: 0.30 	ga4: 0.60 	ga5: 0.72 	ga6: 1.16 	gb0: -9.45 	gb1: -1.11 	gb2: 0.50 	gb3: 0.29 	gb4: 0.68 	gb5: 0.75 	gb6: 1.06 	gb7: -0.12 	gb8: -0.07 	gb9: -1.29
			Robot 6 	f: 422.13 	mf: 512.60 	ga0: -9.43 	ga1: -1.36 	ga2: 0.59 	ga3: 0.31 	ga4: 0.59 	ga5: 0.67 	ga6: 1.18 	gb0: -9.39 	gb1: -1.87 	gb2: 0.53 	gb3: 0.39 	gb4: 0.53 	gb5: 0.73 	gb6: 1.14 	gb7: -0.06 	gb8: -0.07 	gb9: -1.38
			Robot 7 	f: 146.47 	mf: 251.00 	ga0: -9.18 	ga1: -1.73 	ga2: 0.57 	ga3: 0.43 	ga4: 0.60 	ga5: 0.68 	ga6: 1.10 	gb0: -9.23 	gb1: -1.78 	gb2: 0.61 	gb3: 0.41 	gb4: 0.53 	gb5: 0.78 	gb6: 1.20 	gb7: -0.03 	gb8: -0.08 	gb9: -1.36
			Robot 8 	f: 178.03 	mf: 303.80 	ga0: -9.18 	ga1: -1.24 	ga2: 0.57 	ga3: 0.32 	ga4: 0.62 	ga5: 0.71 	ga6: 1.10 	gb0: -9.15 	gb1: -1.43 	gb2: 0.68 	gb3: 0.42 	gb4: 0.54 	gb5: 0.65 	gb6: 1.12 	gb7: 0.03 	gb8: -0.03 	gb9: -1.37
			Robot 9 	f: 170.55 	mf: 507.00 	ga0: -9.13 	ga1: -2.80 	ga2: 0.57 	ga3: 0.33 	ga4: 0.60 	ga5: 0.68 	ga6: 1.09 	gb0: -9.16 	gb1: -2.61 	gb2: 0.44 	gb3: 0.39 	gb4: 0.58 	gb5: 0.65 	gb6: 1.10 	gb7: -0.10 	gb8: -0.13 	gb9: -1.36
			Robot 10 	f: 20.20 	mf: 234.40 	ga0: -9.65 	ga1: -2.71 	ga2: 0.59 	ga3: 0.34 	ga4: 0.59 	ga5: 0.87 	ga6: 1.27 	gb0: -9.49 	gb1: -2.60 	gb2: 0.54 	gb3: 0.27 	gb4: 0.57 	gb5: 0.76 	gb6: 1.28 	gb7: -0.09 	gb8: -0.10 	gb9: -1.35
			Robot 11 	f: 866.26 	mf: 524.60 	ga0: -9.21 	ga1: -2.63 	ga2: 0.58 	ga3: 0.31 	ga4: 0.61 	ga5: 0.67 	ga6: 1.10 	gb0: -9.07 	gb1: -2.50 	gb2: 0.56 	gb3: 0.41 	gb4: 0.57 	gb5: 0.70 	gb6: 1.08 	gb7: -0.13 	gb8: -0.06 	gb9: -1.35
			Robot 12 	f: -1.53 	mf: 322.00 	ga0: -9.21 	ga1: -2.45 	ga2: 0.58 	ga3: 0.32 	ga4: 0.69 	ga5: 0.67 	ga6: 1.15 	gb0: -9.18 	gb1: -2.47 	gb2: 0.55 	gb3: 0.39 	gb4: 0.60 	gb5: 0.73 	gb6: 1.13 	gb7: -0.08 	gb8: 0.05 	gb9: -1.41
			Robot 13 	f: 475.71 	mf: 194.60 	ga0: -9.30 	ga1: -0.13 	ga2: 0.60 	ga3: 0.30 	ga4: 0.65 	ga5: 0.67 	ga6: 1.26 	gb0: -9.30 	gb1: -1.11 	gb2: 0.56 	gb3: 0.34 	gb4: 0.68 	gb5: 0.63 	gb6: 1.12 	gb7: 0.02 	gb8: 0.04 	gb9: -1.30
			Robot 14 	f: 5.54 	mf: 203.60 	ga0: -9.40 	ga1: -2.52 	ga2: 0.76 	ga3: 0.30 	ga4: 0.69 	ga5: 0.70 	ga6: 1.16 	gb0: -9.28 	gb1: -2.46 	gb2: 0.66 	gb3: 0.32 	gb4: 0.70 	gb5: 0.77 	gb6: 1.24 	gb7: -0.13 	gb8: -0.10 	gb9: -1.27
		Population 77
			Robot 0 	f: 216.74 	mf: 278.80 	ga0: -9.18 	ga1: -2.71 	ga2: 0.57 	ga3: 0.56 	ga4: 0.59 	ga5: 0.67 	ga6: 1.17 	gb0: -9.26 	gb1: -2.73 	gb2: 0.58 	gb3: 0.45 	gb4: 0.53 	gb5: 0.69 	gb6: 1.16 	gb7: -0.09 	gb8: -0.05 	gb9: -1.38
			Robot 1 	f: 697.20 	mf: 334.20 	ga0: -9.22 	ga1: -2.54 	ga2: 0.58 	ga3: 0.44 	ga4: 0.60 	ga5: 0.90 	ga6: 1.13 	gb0: -9.07 	gb1: -2.56 	gb2: 0.57 	gb3: 0.30 	gb4: 0.62 	gb5: 0.73 	gb6: 1.15 	gb7: -0.02 	gb8: 0.06 	gb9: -1.31
			Robot 2 	f: 284.46 	mf: 149.20 	ga0: -9.17 	ga1: -1.91 	ga2: 0.63 	ga3: 0.52 	ga4: 0.61 	ga5: 0.71 	ga6: 1.29 	gb0: -9.19 	gb1: -1.89 	gb2: 0.60 	gb3: 0.41 	gb4: 0.64 	gb5: 0.64 	gb6: 1.12 	gb7: -0.07 	gb8: -0.01 	gb9: -1.26
			Robot 3 	f: 377.72 	mf: 281.60 	ga0: -9.20 	ga1: 0.84 	ga2: 0.57 	ga3: 0.45 	ga4: 0.61 	ga5: 0.88 	ga6: 1.13 	gb0: -9.30 	gb1: -0.82 	gb2: 0.54 	gb3: 0.51 	gb4: 0.67 	gb5: 0.73 	gb6: 1.03 	gb7: -0.02 	gb8: 0.01 	gb9: -1.35
			Robot 4 	f: 932.40 	mf: 396.60 	ga0: -9.22 	ga1: -2.43 	ga2: 0.62 	ga3: 0.37 	ga4: 0.63 	ga5: 0.74 	ga6: 1.24 	gb0: -9.19 	gb1: -2.23 	gb2: 0.58 	gb3: 0.40 	gb4: 0.56 	gb5: 0.74 	gb6: 1.25 	gb7: -0.04 	gb8: 0.03 	gb9: -1.28
			Robot 5 	f: 129.82 	mf: 269.20 	ga0: -9.44 	ga1: -1.28 	ga2: 0.75 	ga3: 0.36 	ga4: 0.60 	ga5: 0.70 	ga6: 1.12 	gb0: -9.41 	gb1: -1.56 	gb2: 0.59 	gb3: 0.43 	gb4: 0.61 	gb5: 0.63 	gb6: 1.09 	gb7: 0.02 	gb8: -0.13 	gb9: -1.36
			Robot 6 	f: 19.01 	mf: 463.80 	ga0: -9.14 	ga1: -2.08 	ga2: 0.58 	ga3: 0.32 	ga4: 0.60 	ga5: 0.68 	ga6: 1.13 	gb0: -9.17 	gb1: -2.18 	gb2: 0.59 	gb3: 0.41 	gb4: 0.67 	gb5: 0.64 	gb6: 1.22 	gb7: -0.13 	gb8: -0.09 	gb9: -1.29
			Robot 7 	f: 972.41 	mf: 419.80 	ga0: -9.18 	ga1: -1.73 	ga2: 0.57 	ga3: 0.43 	ga4: 0.60 	ga5: 0.68 	ga6: 1.10 	gb0: -9.23 	gb1: -1.78 	gb2: 0.61 	gb3: 0.41 	gb4: 0.53 	gb5: 0.78 	gb6: 1.20 	gb7: -0.03 	gb8: -0.08 	gb9: -1.36
			Robot 8 	f: 149.08 	mf: 250.60 	ga0: -9.15 	ga1: -1.01 	ga2: 0.57 	ga3: 0.39 	ga4: 0.61 	ga5: 0.69 	ga6: 1.09 	gb0: -9.21 	gb1: -1.47 	gb2: 0.55 	gb3: 0.39 	gb4: 0.57 	gb5: 0.72 	gb6: 1.06 	gb7: -0.05 	gb8: -0.00 	gb9: -1.23
			Robot 9 	f: 859.18 	mf: 579.60 	ga0: -9.13 	ga1: -2.80 	ga2: 0.57 	ga3: 0.33 	ga4: 0.60 	ga5: 0.68 	ga6: 1.09 	gb0: -9.16 	gb1: -2.61 	gb2: 0.44 	gb3: 0.39 	gb4: 0.58 	gb5: 0.65 	gb6: 1.10 	gb7: -0.10 	gb8: -0.13 	gb9: -1.36
			Robot 10 	f: 513.04 	mf: 279.80 	ga0: -9.39 	ga1: -2.75 	ga2: 0.76 	ga3: 0.35 	ga4: 0.60 	ga5: 0.77 	ga6: 1.18 	gb0: -9.42 	gb1: -2.61 	gb2: 0.67 	gb3: 0.24 	gb4: 0.49 	gb5: 0.82 	gb6: 1.27 	gb7: -0.04 	gb8: -0.11 	gb9: -1.28
			Robot 11 	f: 279.62 	mf: 549.00 	ga0: -9.17 	ga1: 0.14 	ga2: 0.57 	ga3: 0.32 	ga4: 0.61 	ga5: 0.67 	ga6: 1.10 	gb0: -9.14 	gb1: -1.15 	gb2: 0.48 	gb3: 0.36 	gb4: 0.66 	gb5: 0.75 	gb6: 1.15 	gb7: -0.15 	gb8: -0.12 	gb9: -1.24
			Robot 12 	f: 722.98 	mf: 408.20 	ga0: -9.21 	ga1: -2.45 	ga2: 0.58 	ga3: 0.32 	ga4: 0.69 	ga5: 0.67 	ga6: 1.15 	gb0: -9.18 	gb1: -2.47 	gb2: 0.55 	gb3: 0.39 	gb4: 0.60 	gb5: 0.73 	gb6: 1.13 	gb7: -0.08 	gb8: 0.05 	gb9: -1.41
			Robot 13 	f: -90.31 	mf: 157.80 	ga0: -9.61 	ga1: -1.46 	ga2: 0.58 	ga3: 0.32 	ga4: 0.62 	ga5: 0.67 	ga6: 1.18 	gb0: -9.49 	gb1: -1.57 	gb2: 0.58 	gb3: 0.32 	gb4: 0.66 	gb5: 0.57 	gb6: 1.21 	gb7: -0.04 	gb8: -0.06 	gb9: -1.29
			Robot 14 	f: 632.76 	mf: 178.20 	ga0: -9.40 	ga1: -2.52 	ga2: 0.76 	ga3: 0.30 	ga4: 0.69 	ga5: 0.70 	ga6: 1.16 	gb0: -9.28 	gb1: -2.46 	gb2: 0.66 	gb3: 0.32 	gb4: 0.70 	gb5: 0.77 	gb6: 1.24 	gb7: -0.13 	gb8: -0.10 	gb9: -1.27
		Population 78
			Robot 0 	f: 384.79 	mf: 377.60 	ga0: -9.16 	ga1: -2.38 	ga2: 0.57 	ga3: 0.45 	ga4: 0.60 	ga5: 0.67 	ga6: 1.32 	gb0: -9.21 	gb1: -2.55 	gb2: 0.61 	gb3: 0.42 	gb4: 0.49 	gb5: 0.66 	gb6: 1.31 	gb7: -0.13 	gb8: -0.08 	gb9: -1.34
			Robot 1 	f: 238.62 	mf: 302.60 	ga0: -9.17 	ga1: -2.67 	ga2: 0.57 	ga3: 0.39 	ga4: 0.60 	ga5: 0.79 	ga6: 1.11 	gb0: -9.05 	gb1: -2.66 	gb2: 0.60 	gb3: 0.28 	gb4: 0.64 	gb5: 0.67 	gb6: 1.07 	gb7: 0.03 	gb8: -0.03 	gb9: -1.32
			Robot 2 	f: 560.28 	mf: 200.40 	ga0: -9.15 	ga1: -2.18 	ga2: 0.84 	ga3: 0.43 	ga4: 0.60 	ga5: 0.69 	ga6: 1.19 	gb0: -9.11 	gb1: -2.18 	gb2: 0.73 	gb3: 0.33 	gb4: 0.53 	gb5: 0.60 	gb6: 1.14 	gb7: -0.06 	gb8: -0.12 	gb9: -1.37
			Robot 3 	f: -583.14 	mf: 124.60 	ga0: -9.58 	ga1: -0.98 	ga2: 0.58 	ga3: 0.39 	ga4: 0.60 	ga5: 0.78 	ga6: 1.11 	gb0: -9.44 	gb1: -1.35 	gb2: 0.55 	gb3: 0.48 	gb4: 0.59 	gb5: 0.82 	gb6: 1.05 	gb7: 0.05 	gb8: 0.01 	gb9: -1.30
			Robot 4 	f: 1.44 	mf: 463.40 	ga0: -9.17 	ga1: -2.62 	ga2: 0.59 	ga3: 0.35 	ga4: 0.61 	ga5: 0.71 	ga6: 1.16 	gb0: -9.27 	gb1: -2.50 	gb2: 0.48 	gb3: 0.29 	gb4: 0.64 	gb5: 0.76 	gb6: 1.14 	gb7: 0.00 	gb8: -0.01 	gb9: -1.32
			Robot 5 	f: 362.39 	mf: 289.40 	ga0: -9.28 	ga1: -2.04 	ga2: 0.72 	ga3: 0.35 	ga4: 0.60 	ga5: 0.69 	ga6: 1.11 	gb0: -9.36 	gb1: -2.14 	gb2: 0.58 	gb3: 0.44 	gb4: 0.62 	gb5: 0.75 	gb6: 1.04 	gb7: 0.02 	gb8: 0.03 	gb9: -1.25
			Robot 6 	f: 3.41 	mf: 311.20 	ga0: -9.14 	ga1: -2.44 	ga2: 0.57 	ga3: 0.33 	ga4: 0.60 	ga5: 0.68 	ga6: 1.36 	gb0: -9.17 	gb1: -2.49 	gb2: 0.63 	gb3: 0.45 	gb4: 0.58 	gb5: 0.66 	gb6: 1.32 	gb7: -0.03 	gb8: -0.13 	gb9: -1.41
			Robot 7 	f: 297.00 	mf: 442.80 	ga0: -9.16 	ga1: -3.13 	ga2: 0.82 	ga3: 0.55 	ga4: 0.60 	ga5: 0.68 	ga6: 1.09 	gb0: -9.20 	gb1: -2.59 	gb2: 0.57 	gb3: 0.57 	gb4: 0.66 	gb5: 0.72 	gb6: 1.15 	gb7: -0.05 	gb8: -0.11 	gb9: -1.38
			Robot 8 	f: 141.57 	mf: 358.40 	ga0: -9.14 	ga1: -1.90 	ga2: 0.57 	ga3: 0.36 	ga4: 0.60 	ga5: 0.68 	ga6: 1.13 	gb0: -9.08 	gb1: -1.88 	gb2: 0.44 	gb3: 0.33 	gb4: 0.50 	gb5: 0.60 	gb6: 1.12 	gb7: -0.08 	gb8: 0.06 	gb9: -1.25
			Robot 9 	f: 691.16 	mf: 607.60 	ga0: -9.13 	ga1: -2.80 	ga2: 0.57 	ga3: 0.33 	ga4: 0.60 	ga5: 0.68 	ga6: 1.09 	gb0: -9.16 	gb1: -2.61 	gb2: 0.44 	gb3: 0.39 	gb4: 0.58 	gb5: 0.65 	gb6: 1.10 	gb7: -0.10 	gb8: -0.13 	gb9: -1.36
			Robot 10 	f: 223.79 	mf: 245.60 	ga0: -9.26 	ga1: -2.39 	ga2: 0.66 	ga3: 0.34 	ga4: 0.71 	ga5: 0.73 	ga6: 1.13 	gb0: -9.27 	gb1: -2.43 	gb2: 0.61 	gb3: 0.38 	gb4: 0.58 	gb5: 0.82 	gb6: 1.20 	gb7: -0.01 	gb8: -0.10 	gb9: -1.21
