QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.4	 nc: 0.5	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.62 	ga1: 2.55 	ga2: 0.00 	ga3: 0.08 	ga4: 0.06 	ga5: 0.00 	ga6: 0.00 	gb0: 0.59 	gb1: 0.67 	gb2: 0.26 	gb3: 0.25 	gb4: 0.33 	gb5: -0.70 	gb6: 1.02 	gb7: 1.43 	gb8: 3.95 	gb9: -1.57
			Robot 5 	f: -30.31 	mf: 68.60 	ga0: 0.52 	ga1: 1.80 	ga2: 0.42 	ga3: 0.34 	ga4: 0.70 	ga5: 0.31 	ga6: 0.65 	gb0: 0.65 	gb1: 0.29 	gb2: 0.55 	gb3: 0.23 	gb4: 0.62 	gb5: -1.94 	gb6: -0.15 	gb7: 0.52 	gb8: -1.65 	gb9: -1.92
			Robot 6 	f: 112.90 	mf: 117.20 	ga0: 0.52 	ga1: 1.05 	ga2: 0.43 	ga3: 0.32 	ga4: 0.70 	ga5: 0.31 	ga6: 0.57 	gb0: 0.49 	gb1: 0.47 	gb2: 0.41 	gb3: 0.24 	gb4: 0.66 	gb5: -1.70 	gb6: 1.68 	gb7: -0.18 	gb8: 0.40 	gb9: -0.45
			Robot 7 	f: 20.98 	mf: 67.60 	ga0: 0.64 	ga1: 2.51 	ga2: 0.50 	ga3: 0.57 	ga4: 0.74 	ga5: 0.44 	ga6: 0.61 	gb0: 0.31 	gb1: 0.55 	gb2: 0.53 	gb3: 0.18 	gb4: 0.32 	gb5: -0.36 	gb6: -0.31 	gb7: 0.98 	gb8: -2.33 	gb9: -0.29
			Robot 8 	f: 49.52 	mf: 45.80 	ga0: 0.25 	ga1: 1.24 	ga2: 0.44 	ga3: 0.46 	ga4: 0.81 	ga5: 0.33 	ga6: 0.59 	gb0: 0.64 	gb1: 0.42 	gb2: 0.34 	gb3: 0.33 	gb4: 0.53 	gb5: 1.57 	gb6: 1.24 	gb7: 0.61 	gb8: -0.44 	gb9: -1.12
			Robot 9 	f: 62.71 	mf: 52.80 	ga0: 0.38 	ga1: 1.12 	ga2: 0.52 	ga3: 0.57 	ga4: 0.90 	ga5: 0.56 	ga6: 0.74 	gb0: 0.39 	gb1: 0.57 	gb2: 0.23 	gb3: 0.48 	gb4: 0.69 	gb5: 2.12 	gb6: -1.65 	gb7: -0.44 	gb8: -1.62 	gb9: -2.06
			Robot 10 	f: 8.76 	mf: 30.40 	ga0: 0.23 	ga1: 1.07 	ga2: 0.46 	ga3: 0.34 	ga4: 0.65 	ga5: 0.32 	ga6: 0.81 	gb0: 0.51 	gb1: 0.63 	gb2: 0.36 	gb3: 0.49 	gb4: 0.36 	gb5: -1.10 	gb6: 2.55 	gb7: 0.97 	gb8: -0.41 	gb9: -0.49
			Robot 11 	f: -288.24 	mf: 26.80 	ga0: 0.52 	ga1: 0.80 	ga2: 0.53 	ga3: 0.33 	ga4: 0.75 	ga5: 0.39 	ga6: 0.62 	gb0: 0.73 	gb1: 0.43 	gb2: 0.50 	gb3: 0.26 	gb4: 0.77 	gb5: -1.54 	gb6: -2.02 	gb7: -0.02 	gb8: -1.37 	gb9: -1.00
			Robot 12 	f: 162.09 	mf: 106.40 	ga0: 0.31 	ga1: 1.08 	ga2: 0.34 	ga3: 0.42 	ga4: 0.79 	ga5: 0.45 	ga6: 0.55 	gb0: 0.68 	gb1: 0.36 	gb2: 0.70 	gb3: 0.46 	gb4: 0.50 	gb5: 2.25 	gb6: -2.07 	gb7: -1.61 	gb8: 0.00 	gb9: -0.96
			Robot 13 	f: 7.04 	mf: -312.60 	ga0: 0.67 	ga1: 1.12 	ga2: 0.60 	ga3: 0.34 	ga4: 0.92 	ga5: 0.52 	ga6: 0.63 	gb0: 0.78 	gb1: 0.57 	gb2: 0.44 	gb3: 0.51 	gb4: 0.37 	gb5: -1.83 	gb6: 1.20 	gb7: -1.46 	gb8: 0.60 	gb9: -1.35
			Robot 14 	f: 5.05 	mf: 61.20 	ga0: 0.38 	ga1: 1.06 	ga2: 0.39 	ga3: 0.34 	ga4: 0.64 	ga5: 0.58 	ga6: 0.56 	gb0: 0.25 	gb1: 0.73 	gb2: 0.22 	gb3: 0.66 	gb4: 0.73 	gb5: 2.90 	gb6: -0.86 	gb7: 0.47 	gb8: -0.05 	gb9: -2.65
		Population 31
			Robot 0 	f: -1.34 	mf: 88.60 	ga0: 0.19 	ga1: 1.04 	ga2: 0.75 	ga3: 0.30 	ga4: 0.67 	ga5: 0.31 	ga6: 0.66 	gb0: 0.70 	gb1: 0.70 	gb2: 0.44 	gb3: 0.18 	gb4: 0.39 	gb5: 0.33 	gb6: 0.87 	gb7: -2.92 	gb8: -0.89 	gb9: -2.17
			Robot 1 	f: 76.52 	mf: 96.60 	ga0: 0.45 	ga1: 2.62 	ga2: 0.47 	ga3: 0.41 	ga4: 0.67 	ga5: 0.34 	ga6: 0.57 	gb0: 0.67 	gb1: 0.53 	gb2: 0.56 	gb3: 0.14 	gb4: 0.64 	gb5: -2.89 	gb6: 1.83 	gb7: -1.62 	gb8: -1.57 	gb9: 0.76
			Robot 2 	f: 6.15 	mf: -529.00 	ga0: 0.69 	ga1: 1.15 	ga2: 0.43 	ga3: 0.34 	ga4: 0.75 	ga5: 0.42 	ga6: 0.57 	gb0: 0.43 	gb1: 0.64 	gb2: 0.25 	gb3: 0.37 	gb4: 0.69 	gb5: -1.93 	gb6: 2.04 	gb7: 1.84 	gb8: -0.94 	gb9: 0.46
			Robot 3 	f: 63.37 	mf: -89.20 	ga0: 0.38 	ga1: 1.35 	ga2: 0.43 	ga3: 0.31 	ga4: 0.78 	ga5: 0.35 	ga6: 0.57 	gb0: 0.33 	gb1: 0.75 	gb2: 0.49 	gb3: 0.53 	gb4: 0.55 	gb5: -0.23 	gb6: 2.82 	gb7: -2.07 	gb8: -1.88 	gb9: -1.87
			Robot 4 	f: 56.68 	mf: 44.80 	ga0: 0.76 	ga1: 2.21 	ga2: 0.42 	ga3: 0.53 	ga4: 0.67 	ga5: 0.40 	ga6: 0.67 	gb0: 0.34 	gb1: 0.39 	gb2: 0.71 	gb3: 0.36 	gb4: 0.63 	gb5: -0.50 	gb6: 2.05 	gb7: 1.08 	gb8: 0.54 	gb9: 1.47
			Robot 5 	f: 14.61 	mf: 63.60 	ga0: 0.76 	ga1: 1.21 	ga2: 0.43 	ga3: 0.33 	ga4: 0.94 	ga5: 0.42 	ga6: 0.64 	gb0: 0.76 	gb1: 0.53 	gb2: 0.59 	gb3: 0.53 	gb4: 0.37 	gb5: 1.11 	gb6: -1.16 	gb7: 0.22 	gb8: 0.28 	gb9: -1.59
			Robot 6 	f: 118.47 	mf: 135.20 	ga0: 0.52 	ga1: 1.05 	ga2: 0.43 	ga3: 0.32 	ga4: 0.70 	ga5: 0.31 	ga6: 0.57 	gb0: 0.49 	gb1: 0.47 	gb2: 0.41 	gb3: 0.24 	gb4: 0.66 	gb5: -1.70 	gb6: 1.68 	gb7: -0.18 	gb8: 0.40 	gb9: -0.45
			Robot 7 	f: 10.61 	mf: 47.40 	ga0: 0.29 	ga1: 0.89 	ga2: 0.48 	ga3: 0.45 	ga4: 0.72 	ga5: 0.38 	ga6: 0.59 	gb0: 0.46 	gb1: 0.27 	gb2: 0.26 	gb3: 0.39 	gb4: 0.25 	gb5: -1.08 	gb6: -1.88 	gb7: 0.61 	gb8: 1.07 	gb9: 2.19
			Robot 8 	f: 0.35 	mf: 45.20 	ga0: 0.38 	ga1: 1.15 	ga2: 0.44 	ga3: 0.39 	ga4: 0.75 	ga5: 0.37 	ga6: 0.58 	gb0: 0.44 	gb1: 0.38 	gb2: 0.36 	gb3: 0.60 	gb4: 0.30 	gb5: 1.55 	gb6: 1.85 	gb7: 2.41 	gb8: 0.08 	gb9: 1.72
			Robot 9 	f: 65.67 	mf: 61.20 	ga0: 0.22 	ga1: 1.09 	ga2: 0.56 	ga3: 0.67 	ga4: 0.93 	ga5: 0.44 	ga6: 0.66 	gb0: 0.66 	gb1: 0.39 	gb2: 0.35 	gb3: 0.67 	gb4: 0.45 	gb5: -1.92 	gb6: 0.95 	gb7: 1.98 	gb8: -2.27 	gb9: -2.00
			Robot 10 	f: 25.45 	mf: 33.60 	ga0: 0.69 	ga1: 0.53 	ga2: 0.59 	ga3: 0.33 	ga4: 0.68 	ga5: 0.33 	ga6: 0.74 	gb0: 0.43 	gb1: 0.63 	gb2: 0.33 	gb3: 0.31 	gb4: 0.58 	gb5: -1.22 	gb6: -0.43 	gb7: 0.28 	gb8: 2.23 	gb9: 0.48
			Robot 11 	f: 234.00 	mf: 57.40 	ga0: 0.52 	ga1: 0.80 	ga2: 0.53 	ga3: 0.33 	ga4: 0.75 	ga5: 0.39 	ga6: 0.62 	gb0: 0.73 	gb1: 0.43 	gb2: 0.50 	gb3: 0.26 	gb4: 0.77 	gb5: -1.54 	gb6: -2.02 	gb7: -0.02 	gb8: -1.37 	gb9: -1.00
			Robot 12 	f: 14.81 	mf: 80.00 	ga0: 0.41 	ga1: 1.07 	ga2: 0.39 	ga3: 0.52 	ga4: 0.74 	ga5: 0.38 	ga6: 0.61 	gb0: 0.33 	gb1: 0.35 	gb2: 0.64 	gb3: 0.50 	gb4: 0.39 	gb5: 2.41 	gb6: 0.12 	gb7: 1.40 	gb8: -2.13 	gb9: -2.36
			Robot 13 	f: 7.73 	mf: -272.60 	ga0: 0.30 	ga1: 1.09 	ga2: 0.52 	ga3: 0.33 	ga4: 1.03 	ga5: 0.41 	ga6: 0.60 	gb0: 0.39 	gb1: 0.70 	gb2: 0.27 	gb3: 0.24 	gb4: 0.37 	gb5: -1.85 	gb6: 2.36 	gb7: -0.65 	gb8: -2.05 	gb9: -0.57
			Robot 14 	f: 37.35 	mf: 57.80 	ga0: 0.45 	ga1: 1.06 	ga2: 0.41 	ga3: 0.33 	ga4: 0.68 	ga5: 0.44 	ga6: 0.81 	gb0: 0.24 	gb1: 0.49 	gb2: 0.40 	gb3: 0.31 	gb4: 0.63 	gb5: 2.74 	gb6: 1.95 	gb7: 0.09 	gb8: 1.35 	gb9: -2.81
		Population 32
			Robot 0 	f: 106.01 	mf: 92.80 	ga0: 0.19 	ga1: 1.04 	ga2: 0.75 	ga3: 0.30 	ga4: 0.67 	ga5: 0.31 	ga6: 0.66 	gb0: 0.70 	gb1: 0.70 	gb2: 0.44 	gb3: 0.18 	gb4: 0.39 	gb5: 0.33 	gb6: 0.87 	gb7: -2.92 	gb8: -0.89 	gb9: -2.17
			Robot 1 	f: 2.03 	mf: 67.60 	ga0: 0.74 	ga1: 1.83 	ga2: 0.45 	ga3: 0.36 	ga4: 0.69 	ga5: 0.34 	ga6: 0.80 	gb0: 0.45 	gb1: 0.56 	gb2: 0.29 	gb3: 0.58 	gb4: 0.72 	gb5: -0.78 	gb6: -0.56 	gb7: -2.64 	gb8: -0.73 	gb9: -0.21
			Robot 2 	f: 25.60 	mf: -530.00 	ga0: 0.69 	ga1: 1.15 	ga2: 0.43 	ga3: 0.34 	ga4: 0.75 	ga5: 0.42 	ga6: 0.57 	gb0: 0.43 	gb1: 0.64 	gb2: 0.25 	gb3: 0.37 	gb4: 0.69 	gb5: -1.93 	gb6: 2.04 	gb7: 1.84 	gb8: -0.94 	gb9: 0.46
			Robot 3 	f: 178.29 	mf: -60.80 	ga0: 0.38 	ga1: 1.35 	ga2: 0.43 	ga3: 0.31 	ga4: 0.78 	ga5: 0.35 	ga6: 0.57 	gb0: 0.33 	gb1: 0.75 	gb2: 0.49 	gb3: 0.53 	gb4: 0.55 	gb5: -0.23 	gb6: 2.82 	gb7: -2.07 	gb8: -1.88 	gb9: -1.87
			Robot 4 	f: 172.04 	mf: 64.60 	ga0: 0.76 	ga1: 2.21 	ga2: 0.42 	ga3: 0.53 	ga4: 0.67 	ga5: 0.40 	ga6: 0.67 	gb0: 0.34 	gb1: 0.39 	gb2: 0.71 	gb3: 0.36 	gb4: 0.63 	gb5: -0.50 	gb6: 2.05 	gb7: 1.08 	gb8: 0.54 	gb9: 1.47
			Robot 5 	f: 33.70 	mf: 56.20 	ga0: 0.76 	ga1: 1.21 	ga2: 0.43 	ga3: 0.33 	ga4: 0.94 	ga5: 0.42 	ga6: 0.64 	gb0: 0.76 	gb1: 0.53 	gb2: 0.59 	gb3: 0.53 	gb4: 0.37 	gb5: 1.11 	gb6: -1.16 	gb7: 0.22 	gb8: 0.28 	gb9: -1.59
			Robot 6 	f: 8.97 	mf: 112.80 	ga0: 0.52 	ga1: 1.05 	ga2: 0.43 	ga3: 0.32 	ga4: 0.70 	ga5: 0.31 	ga6: 0.57 	gb0: 0.49 	gb1: 0.47 	gb2: 0.41 	gb3: 0.24 	gb4: 0.66 	gb5: -1.70 	gb6: 1.68 	gb7: -0.18 	gb8: 0.40 	gb9: -0.45
			Robot 7 	f: -1722.56 	mf: -318.20 	ga0: 0.40 	ga1: 0.97 	ga2: 0.46 	ga3: 0.52 	ga4: 0.71 	ga5: 0.34 	ga6: 0.58 	gb0: 0.56 	gb1: 0.42 	gb2: 0.64 	gb3: 0.54 	gb4: 0.24 	gb5: -2.75 	gb6: -0.63 	gb7: 2.07 	gb8: -1.47 	gb9: 2.36
			Robot 8 	f: 133.37 	mf: 60.60 	ga0: 0.38 	ga1: 1.15 	ga2: 0.44 	ga3: 0.39 	ga4: 0.75 	ga5: 0.37 	ga6: 0.58 	gb0: 0.44 	gb1: 0.38 	gb2: 0.36 	gb3: 0.60 	gb4: 0.30 	gb5: 1.55 	gb6: 1.85 	gb7: 2.41 	gb8: 0.08 	gb9: 1.72
			Robot 9 	f: 74.04 	mf: 44.20 	ga0: 0.22 	ga1: 1.09 	ga2: 0.56 	ga3: 0.67 	ga4: 0.93 	ga5: 0.44 	ga6: 0.66 	gb0: 0.66 	gb1: 0.39 	gb2: 0.35 	gb3: 0.67 	gb4: 0.45 	gb5: -1.92 	gb6: 0.95 	gb7: 1.98 	gb8: -2.27 	gb9: -2.00
			Robot 10 	f: 2.81 	mf: 24.40 	ga0: 0.60 	ga1: 1.90 	ga2: 0.51 	ga3: 0.55 	ga4: 0.69 	ga5: 0.32 	ga6: 0.66 	gb0: 0.68 	gb1: 0.61 	gb2: 0.36 	gb3: 0.57 	gb4: 0.74 	gb5: -0.00 	gb6: -0.58 	gb7: 2.08 	gb8: -0.46 	gb9: -0.53
			Robot 11 	f: 167.21 	mf: 62.00 	ga0: 0.52 	ga1: 0.80 	ga2: 0.53 	ga3: 0.33 	ga4: 0.75 	ga5: 0.39 	ga6: 0.62 	gb0: 0.73 	gb1: 0.43 	gb2: 0.50 	gb3: 0.26 	gb4: 0.77 	gb5: -1.54 	gb6: -2.02 	gb7: -0.02 	gb8: -1.37 	gb9: -1.00
			Robot 12 	f: -542.60 	mf: -32.40 	ga0: 0.46 	ga1: 2.53 	ga2: 0.53 	ga3: 0.42 	ga4: 0.80 	ga5: 0.35 	ga6: 0.59 	gb0: 0.70 	gb1: 0.25 	gb2: 0.28 	gb3: 0.46 	gb4: 0.74 	gb5: -1.40 	gb6: -0.91 	gb7: 1.26 	gb8: -0.12 	gb9: 1.46
			Robot 13 	f: 123.24 	mf: 33.20 	ga0: 0.30 	ga1: 1.09 	ga2: 0.52 	ga3: 0.33 	ga4: 1.03 	ga5: 0.41 	ga6: 0.60 	gb0: 0.39 	gb1: 0.70 	gb2: 0.27 	gb3: 0.24 	gb4: 0.37 	gb5: -1.85 	gb6: 2.36 	gb7: -0.65 	gb8: -2.05 	gb9: -0.57
			Robot 14 	f: 2.24 	mf: 57.20 	ga0: 0.24 	ga1: 1.06 	ga2: 0.42 	ga3: 0.33 	ga4: 0.69 	ga5: 0.38 	ga6: 0.69 	gb0: 0.65 	gb1: 0.34 	gb2: 0.24 	gb3: 0.40 	gb4: 0.57 	gb5: -1.65 	gb6: -1.30 	gb7: 1.34 	gb8: -1.54 	gb9: -3.22
		Population 33
			Robot 0 	f: 73.07 	mf: 72.40 	ga0: 0.14 	ga1: 1.10 	ga2: 0.59 	ga3: 0.55 	ga4: 0.85 	ga5: 0.39 	ga6: 0.61 	gb0: 0.46 	gb1: 0.61 	gb2: 0.34 	gb3: 0.26 	gb4: 0.53 	gb5: 1.85 	gb6: -0.59 	gb7: -1.23 	gb8: -2.75 	gb9: 1.25
			Robot 1 	f: 93.38 	mf: 59.20 	ga0: 0.56 	ga1: 1.30 	ga2: 0.44 	ga3: 0.34 	ga4: 0.96 	ga5: 0.34 	ga6: 0.68 	gb0: 0.36 	gb1: 0.68 	gb2: 0.27 	gb3: 0.61 	gb4: 0.73 	gb5: -1.92 	gb6: 0.39 	gb7: 0.52 	gb8: 0.57 	gb9: -1.83
			Robot 2 	f: 46.91 	mf: 23.00 	ga0: 0.54 	ga1: 1.25 	ga2: 0.43 	ga3: 0.32 	ga4: 0.77 	ga5: 0.39 	ga6: 0.77 	gb0: 0.68 	gb1: 0.42 	gb2: 0.58 	gb3: 0.48 	gb4: 0.38 	gb5: -0.38 	gb6: -0.23 	gb7: -2.20 	gb8: -0.11 	gb9: -1.17
			Robot 3 	f: 153.08 	mf: 96.40 	ga0: 0.38 	ga1: 1.35 	ga2: 0.43 	ga3: 0.31 	ga4: 0.78 	ga5: 0.35 	ga6: 0.57 	gb0: 0.33 	gb1: 0.75 	gb2: 0.49 	gb3: 0.53 	gb4: 0.55 	gb5: -0.23 	gb6: 2.82 	gb7: -2.07 	gb8: -1.88 	gb9: -1.87
			Robot 4 	f: -5.02 	mf: 48.40 	ga0: 0.78 	ga1: 0.89 	ga2: 0.42 	ga3: 0.42 	ga4: 0.72 	ga5: 0.62 	ga6: 0.62 	gb0: 0.25 	gb1: 0.50 	gb2: 0.71 	gb3: 0.32 	gb4: 0.77 	gb5: 1.38 	gb6: 0.58 	gb7: -1.64 	gb8: -1.53 	gb9: 1.81
			Robot 5 	f: 11.87 	mf: 21.20 	ga0: 0.79 	ga1: 1.28 	ga2: 0.43 	ga3: 0.32 	ga4: 0.99 	ga5: 0.39 	ga6: 0.60 	gb0: 0.51 	gb1: 0.63 	gb2: 0.57 	gb3: 0.36 	gb4: 0.60 	gb5: 1.54 	gb6: 0.22 	gb7: 1.57 	gb8: 0.79 	gb9: -2.18
			Robot 6 	f: 72.61 	mf: 90.40 	ga0: 0.72 	ga1: 1.20 	ga2: 0.43 	ga3: 0.44 	ga4: 0.74 	ga5: 0.57 	ga6: 0.57 	gb0: 0.41 	gb1: 0.46 	gb2: 0.38 	gb3: 0.45 	gb4: 0.48 	gb5: -0.62 	gb6: -0.31 	gb7: -2.31 	gb8: -1.87 	gb9: -1.39
			Robot 7 	f: -99.18 	mf: -351.20 	ga0: 0.39 	ga1: 1.16 	ga2: 0.45 	ga3: 0.55 	ga4: 0.90 	ga5: 0.35 	ga6: 0.69 	gb0: 0.43 	gb1: 0.49 	gb2: 0.67 	gb3: 0.46 	gb4: 0.47 	gb5: 0.27 	gb6: 2.47 	gb7: -0.09 	gb8: -2.57 	gb9: -1.37
			Robot 8 	f: -2.46 	mf: 42.80 	ga0: 0.69 	ga1: 2.62 	ga2: 0.47 	ga3: 0.35 	ga4: 0.82 	ga5: 0.44 	ga6: 0.73 	gb0: 0.28 	gb1: 0.45 	gb2: 0.51 	gb3: 0.46 	gb4: 0.55 	gb5: -0.94 	gb6: -0.86 	gb7: -1.72 	gb8: 1.98 	gb9: 0.14
			Robot 9 	f: 51.79 	mf: 50.40 	ga0: 0.30 	ga1: 1.22 	ga2: 0.49 	ga3: 0.55 	ga4: 0.85 	ga5: 0.40 	ga6: 0.83 	gb0: 0.56 	gb1: 0.53 	gb2: 0.31 	gb3: 0.48 	gb4: 0.54 	gb5: 1.51 	gb6: 2.74 	gb7: -0.91 	gb8: -1.85 	gb9: 1.16
			Robot 10 	f: 26.19 	mf: 5.60 	ga0: 0.75 	ga1: 1.62 	ga2: 0.47 	ga3: 0.59 	ga4: 0.86 	ga5: 0.48 	ga6: 0.68 	gb0: 0.50 	gb1: 0.79 	gb2: 0.48 	gb3: 0.65 	gb4: 0.35 	gb5: 1.82 	gb6: -1.17 	gb7: 2.11 	gb8: -2.23 	gb9: -1.52
			Robot 11 	f: 128.43 	mf: 73.20 	ga0: 0.23 	ga1: 0.54 	ga2: 0.55 	ga3: 0.32 	ga4: 0.76 	ga5: 0.37 	ga6: 0.59 	gb0: 0.57 	gb1: 0.73 	gb2: 0.32 	gb3: 0.41 	gb4: 0.69 	gb5: -0.42 	gb6: -0.96 	gb7: 1.97 	gb8: -0.15 	gb9: -1.05
			Robot 12 	f: -150.22 	mf: -86.00 	ga0: 0.42 	ga1: 1.94 	ga2: 0.48 	ga3: 0.37 	ga4: 0.79 	ga5: 0.35 	ga6: 0.58 	gb0: 0.57 	gb1: 0.52 	gb2: 0.53 	gb3: 0.64 	gb4: 0.47 	gb5: -2.61 	gb6: 2.16 	gb7: -1.62 	gb8: -1.43 	gb9: 0.66
			Robot 13 	f: 64.62 	mf: 40.20 	ga0: 0.17 	ga1: 1.22 	ga2: 0.47 	ga3: 0.49 	ga4: 0.91 	ga5: 0.38 	ga6: 0.80 	gb0: 0.59 	gb1: 0.39 	gb2: 0.58 	gb3: 0.27 	gb4: 0.33 	gb5: -1.96 	gb6: 2.25 	gb7: 0.52 	gb8: -0.37 	gb9: 0.75
			Robot 14 	f: -1318.24 	mf: -238.60 	ga0: 0.16 	ga1: 1.20 	ga2: 0.51 	ga3: 0.32 	ga4: 0.73 	ga5: 0.37 	ga6: 0.63 	gb0: 0.39 	gb1: 0.30 	gb2: 0.46 	gb3: 0.41 	gb4: 0.54 	gb5: -0.82 	gb6: 1.91 	gb7: -0.25 	gb8: -2.26 	gb9: -1.92
		Population 34
			Robot 0 	f: 80.66 	mf: 54.00 	ga0: 0.13 	ga1: 1.23 	ga2: 0.51 	ga3: 0.43 	ga4: 0.86 	ga5: 0.48 	ga6: 0.59 	gb0: 0.30 	gb1: 0.78 	gb2: 0.30 	gb3: 0.69 	gb4: 0.59 	gb5: 2.66 	gb6: -0.75 	gb7: 0.40 	gb8: 0.14 	gb9: -0.06
			Robot 1 	f: -1115.28 	mf: -175.00 	ga0: 0.24 	ga1: 2.16 	ga2: 0.43 	ga3: 0.47 	ga4: 0.87 	ga5: 0.53 	ga6: 0.85 	gb0: 0.49 	gb1: 0.57 	gb2: 0.56 	gb3: 0.34 	gb4: 0.55 	gb5: 1.88 	gb6: 2.38 	gb7: 1.95 	gb8: 2.08 	gb9: -2.48
			Robot 2 	f: 130.84 	mf: 48.40 	ga0: 0.46 	ga1: 1.30 	ga2: 0.43 	ga3: 0.32 	ga4: 0.90 	ga5: 0.43 	ga6: 0.67 	gb0: 0.74 	gb1: 0.37 	gb2: 0.41 	gb3: 0.45 	gb4: 0.54 	gb5: -2.11 	gb6: 0.50 	gb7: -1.33 	gb8: -1.65 	gb9: -0.96
			Robot 3 	f: 189.13 	mf: 118.00 	ga0: 0.38 	ga1: 1.35 	ga2: 0.43 	ga3: 0.31 	ga4: 0.78 	ga5: 0.35 	ga6: 0.57 	gb0: 0.33 	gb1: 0.75 	gb2: 0.49 	gb3: 0.53 	gb4: 0.55 	gb5: -0.23 	gb6: 2.82 	gb7: -2.07 	gb8: -1.88 	gb9: -1.87
			Robot 4 	f: 33.36 	mf: 51.20 	ga0: 0.79 	ga1: 1.12 	ga2: 0.42 	ga3: 0.37 	ga4: 0.97 	ga5: 0.48 	ga6: 0.59 	gb0: 0.21 	gb1: 0.37 	gb2: 0.52 	gb3: 0.56 	gb4: 0.64 	gb5: -1.56 	gb6: 1.06 	gb7: -1.60 	gb8: 0.19 	gb9: -1.95
			Robot 5 	f: 6.68 	mf: 6.80 	ga0: 0.58 	ga1: 0.66 	ga2: 0.43 	ga3: 0.32 	ga4: 0.92 	ga5: 0.37 	ga6: 0.59 	gb0: 0.25 	gb1: 0.43 	gb2: 0.70 	gb3: 0.27 	gb4: 0.47 	gb5: 1.14 	gb6: -1.46 	gb7: 2.03 	gb8: 1.24 	gb9: -1.01
			Robot 6 	f: 195.38 	mf: 101.00 	ga0: 0.72 	ga1: 1.20 	ga2: 0.43 	ga3: 0.44 	ga4: 0.74 	ga5: 0.57 	ga6: 0.57 	gb0: 0.41 	gb1: 0.46 	gb2: 0.38 	gb3: 0.45 	gb4: 0.48 	gb5: -0.62 	gb6: -0.31 	gb7: -2.31 	gb8: -1.87 	gb9: -1.39
			Robot 7 	f: 35.95 	mf: -351.20 	ga0: 0.39 	ga1: 1.63 	ga2: 0.46 	ga3: 0.43 	ga4: 0.84 	ga5: 0.35 	ga6: 0.63 	gb0: 0.20 	gb1: 0.79 	gb2: 0.78 	gb3: 0.65 	gb4: 0.53 	gb5: -1.69 	gb6: -0.04 	gb7: 0.93 	gb8: -0.30 	gb9: -0.64
			Robot 8 	f: 36.56 	mf: 43.20 	ga0: 0.54 	ga1: 1.99 	ga2: 0.45 	ga3: 0.33 	ga4: 0.82 	ga5: 0.60 	ga6: 0.83 	gb0: 0.37 	gb1: 0.36 	gb2: 0.75 	gb3: 0.51 	gb4: 0.67 	gb5: 1.32 	gb6: -1.96 	gb7: -1.10 	gb8: -0.17 	gb9: -2.45
			Robot 9 	f: 86.94 	mf: 67.60 	ga0: 0.34 	ga1: 1.29 	ga2: 0.46 	ga3: 0.66 	ga4: 0.82 	ga5: 0.49 	ga6: 0.70 	gb0: 0.37 	gb1: 0.61 	gb2: 0.42 	gb3: 0.61 	gb4: 0.28 	gb5: -1.63 	gb6: -0.61 	gb7: -2.96 	gb8: 0.89 	gb9: 1.77
			Robot 10 	f: 14.83 	mf: 15.00 	ga0: 0.56 	ga1: 1.24 	ga2: 0.46 	ga3: 0.45 	ga4: 0.82 	ga5: 0.42 	ga6: 0.80 	gb0: 0.40 	gb1: 0.62 	gb2: 0.45 	gb3: 0.57 	gb4: 0.68 	gb5: -0.12 	gb6: -1.09 	gb7: 1.74 	gb8: -1.70 	gb9: -2.72
			Robot 11 	f: -3.28 	mf: 47.60 	ga0: 0.30 	ga1: 0.95 	ga2: 0.49 	ga3: 0.32 	ga4: 0.77 	ga5: 0.36 	ga6: 0.58 	gb0: 0.69 	gb1: 0.71 	gb2: 0.24 	gb3: 0.55 	gb4: 0.66 	gb5: 1.56 	gb6: -1.55 	gb7: -0.90 	gb8: -0.83 	gb9: -2.42
			Robot 12 	f: 49.10 	mf: -93.40 	ga0: 0.40 	ga1: 1.65 	ga2: 0.45 	ga3: 0.34 	ga4: 1.01 	ga5: 0.35 	ga6: 0.57 	gb0: 0.70 	gb1: 0.81 	gb2: 0.39 	gb3: 0.59 	gb4: 0.63 	gb5: -0.85 	gb6: 2.78 	gb7: -2.86 	gb8: 0.73 	gb9: -2.17
			Robot 13 	f: 55.61 	mf: 51.20 	ga0: 0.28 	ga1: 2.64 	ga2: 0.45 	ga3: 0.40 	ga4: 0.84 	ga5: 0.38 	ga6: 0.68 	gb0: 0.54 	gb1: 0.68 	gb2: 0.46 	gb3: 0.59 	gb4: 0.39 	gb5: -1.92 	gb6: 1.17 	gb7: 1.00 	gb8: -2.99 	gb9: 1.35
			Robot 14 	f: 28.19 	mf: -249.20 	ga0: 0.27 	ga1: 1.28 	ga2: 0.47 	ga3: 0.43 	ga4: 0.76 	ga5: 0.59 	ga6: 0.60 	gb0: 0.26 	gb1: 0.56 	gb2: 0.59 	gb3: 0.34 	gb4: 0.64 	gb5: 1.82 	gb6: 2.28 	gb7: -0.05 	gb8: -2.94 	gb9: 0.71
		Population 35
